UserID,V,alpha
0,0.6666666666666666,66.66666666666666
1,0.05,5.0
2,1.0,100.0
3,0.06060606060606061,6.0606060606060606
4,0.06451612903225806,6.451612903225806
5,0.4,40.0
6,0.005128205128205128,0.5128205128205128
7,0.1111111111111111,11.11111111111111
8,0.037037037037037035,3.7037037037037033
9,1.0,100.0
10,1.0,100.0
11,0.4,40.0
12,0.5,50.0
13,0.06593406593406592,6.593406593406592
14,1.0,100.0
15,1.0,100.0
16,0.6666666666666666,66.66666666666666
17,0.5,50.0
18,0.18181818181818182,18.181818181818183
19,0.3636363636363636,36.36363636363636
20,0.2222222222222222,22.22222222222222
21,0.04201680672268908,4.201680672268908
22,0.6666666666666666,66.66666666666666
23,1.0,100.0
24,1.0,100.0
25,0.33333333333333337,33.333333333333336
26,0.06060606060606061,6.0606060606060606
27,0.5,50.0
28,1.0,100.0
29,0.4444444444444445,44.44444444444445
30,1.0,100.0
31,0.10526315789473684,10.526315789473683
32,0.014814814814814815,1.4814814814814816
33,0.2222222222222222,22.22222222222222
34,1.0,100.0
35,0.2222222222222222,22.22222222222222
36,1.0,100.0
37,0.4444444444444445,44.44444444444445
38,0.25,25.0
39,0.08333333333333333,8.333333333333332
40,0.19999999999999998,20.0
41,1.0,100.0
42,0.18181818181818182,18.181818181818183
43,0.1,10.0
44,0.17391304347826084,17.391304347826082
45,1.0,100.0
46,0.16666666666666669,16.666666666666668
47,1.0,100.0
48,1.0,100.0
49,1.0,100.0
50,1.0,100.0
51,0.25,25.0
52,0.5,50.0
53,0.4,40.0
54,1.0,100.0
55,1.0,100.0
56,0.6060606060606061,60.60606060606061
57,0.1111111111111111,11.11111111111111
58,0.015037593984962407,1.5037593984962407
59,0.03571428571428572,3.571428571428572
60,0.03007518796992481,3.007518796992481
61,0.4615384615384615,46.15384615384615
62,0.19999999999999998,20.0
63,0.29629629629629634,29.629629629629633
64,0.6666666666666666,66.66666666666666
65,1.0,100.0
66,0.14285714285714288,14.285714285714288
67,1.0,100.0
68,0.6875000000000001,68.75000000000001
69,0.3888888888888889,38.88888888888889
70,0.7272727272727273,72.72727272727273
71,1.0,100.0
72,0.04878048780487806,4.878048780487806
73,1.0,100.0
74,0.47619047619047616,47.61904761904761
75,1.0,100.0
76,1.0,100.0
77,0.33333333333333337,33.333333333333336
78,0.02259887005649718,2.259887005649718
79,0.1111111111111111,11.11111111111111
